anio,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2026,1,01,Aguascalientes,001,Aguascalientes,2,2,3,1,2,2,6,3,1.0,770000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,2,3,1,2,2,6,5,3.0,8292400.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,2,3,1,2,2,6,6,1.0,13500000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,3,1,1,1,2,2,4,1.0,1297000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,3,1,1,1,2,4,2,1.0,500000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,1,2,1,4,1.0,1346860.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,1,2,2,6,1.0,6741053.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,1,2,3,4,1.0,864947.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,1,2,3,5,2.0,1094283.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,1,2,4,4,1.0,882477.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,1,2,4,5,1.0,541687.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,1,2,5,3,1.0,751202.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,1,2,5,4,1.0,535907.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,1,3,4,5,1.0,2728287.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,2,2,3,4,1.0,1062861.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,2,2,4,6,2.0,2488534.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,4,1,2,2,5,5,1.0,2285000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,6,1,1,2,2,3,1.0,350000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,6,1,1,2,3,3,1.0,779350.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,6,1,1,2,3,4,1.0,484575.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,6,1,1,2,4,5,1.0,271000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,6,1,2,2,3,5,1.0,1475000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,6,1,2,3,2,3,1.0,299999.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,7,1,1,1,1,3,1.0,754790.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,7,1,1,2,1,3,1.0,660000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,7,1,1,2,2,3,1.0,668850.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,7,1,1,2,4,4,1.0,1206800.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,7,1,1,2,6,5,2.0,4327100.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,7,1,2,1,1,3,2.0,1325969.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,7,1,2,2,1,3,1.0,450000.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,7,1,2,2,2,3,1.0,814450.0
2026,1,01,Aguascalientes,001,Aguascalientes,2,4,7,1,2,2,4,4,1.0,1638138.0
2026,1,01,Aguascalientes,001,Aguascalientes,3,1,2,1,1,2,3,3,1.0,956000.0
2026,1,01,Aguascalientes,001,Aguascalientes,3,1,2,1,1,2,5,4,1.0,1841581.15
2026,1,01,Aguascalientes,001,Aguascalientes,3,1,2,1,2,2,2,3,4.0,3388149.47
2026,1,01,Aguascalientes,001,Aguascalientes,3,1,2,1,2,2,4,5,1.0,1035968.21
